ABB_NAME,Offence Count,Rate
 Hindmarsh,253,4319.60
 Horsham,"2,008",10240.70
 Loddon,412,5472.20
 Macedon Ranges,"1,464",3342.90
 Mildura,"5,273",10048.60
 Moorabool,"1,442",4910.90
 Mount Alexander,879,4869.00
 Moyne,628,3851.80
 Northern Grampians,924,7719.30
 Pyrenees,254,3702.60
 Queenscliffe,316,10336.90
 Southern Grampians,977,5935.20
 Surf Coast,"1,341",4871.00
 Swan Hill,"1,809",8626.20
 Warrnambool,"2,337",7069.20
 West Wimmera,134,3179.90
 Yarriambiack,394,5553.20
Total,"62,422",6831.80
 Justice Institutions and Immigration Facilities,"1,004",
Total,"1,004",
 Unincorporated Vic,135,
Total,135,
